Age,Male,Female
0,76.23,81.28
1,75.69,80.69
2,74.73,79.72
3,73.75,78.74
4,72.76,77.75
5,71.77,76.76
6,70.78,75.77
7,69.79,74.78
8,68.8,73.79
9,67.81,72.79
10,66.81,71.8
11,65.82,70.81
12,64.83,69.81
13,63.84,68.82
14,62.85,67.83
15,61.87,66.84
16,60.9,65.86
17,59.93,64.87
18,58.97,63.89
19,58.02,62.91
20,57.07,61.93
21,56.13,60.96
22,55.2,59.99
23,54.27,59.02
24,53.35,58.05
25,52.43,57.08
26,51.51,56.11
27,50.58,55.14
28,49.67,54.18
29,48.75,53.22
30,47.83,52.26
31,46.92,51.3
32,46,50.34
33,45.09,49.39
34,44.18,48.44
35,43.27,47.49
36,42.36,46.54
37,41.46,45.59
38,40.55,44.65
39,39.65,43.71
40,38.75,42.76
41,37.84,41.83
42,36.95,40.89
43,36.05,39.95
44,35.16,39.02
45,34.26,38.09
46,33.38,37.17
47,32.5,36.24
48,31.62,35.33
49,30.75,34.42
50,29.88,33.51
51,29.03,32.61
52,28.18,31.71
53,27.34,30.82
54,26.51,29.94
55,25.7,29.06
56,24.89,28.2
57,24.1,27.34
58,23.31,26.48
59,22.54,25.64
60,21.77,24.8
61,21.02,23.96
62,20.28,23.14
63,19.54,22.32
64,18.81,21.51
65,18.09,20.7
66,17.38,19.9
67,16.67,19.1
68,15.97,18.31
69,15.28,17.53
70,14.6,16.76
71,13.92,16
72,13.25,15.26
73,12.59,14.52
74,11.95,13.81
75,11.32,13.1
76,10.71,12.41
77,10.12,11.74
78,9.54,11.09
79,8.98,10.45
80,8.43,9.83
81,7.91,9.23
82,7.4,8.65
83,6.91,8.09
84,6.44,7.56
85,6,7.05
86,5.58,6.56
87,5.18,6.1
88,4.8,5.67
89,4.45,5.26
90,4.12,4.88
91,3.82,4.53
92,3.54,4.2
93,3.29,3.9
94,3.06,3.63
95,2.87,3.39
96,2.69,3.18
97,2.54,2.98
98,2.4,2.81
99,2.28,2.65
100,2.16,2.49
101,2.05,2.35
102,1.94,2.21
103,1.83,2.07
104,1.73,1.94
105,1.64,1.82
106,1.54,1.7
107,1.45,1.59
108,1.37,1.48
109,1.29,1.38
110,1.21,1.28
111,1.13,1.19
112,1.06,1.1
113,0.99,1.02
114,0.92,0.94
115,0.86,0.87
116,0.8,0.8
117,0.74,0.74
118,0.68,0.68
119,0.63,0.63
